,MSE test,MAE test,R2 test
XGBoost sin lyrics,390.6696784083262,15.538224059873851,0.16018463913149217
XGboost con lyrics,369.35087944710796,14.891045336948014,0.2060132658010687
XGboost tirando columnas con feature importance = 0,368.53925227116804,14.863184298520313,0.20775800568574498
